115281,1,2018-10-31 15:27:29,坪山区,1,马峦街道,102,江岭社区,10003,市容环卫,5,绿化养护,176,绿地设施维护,597,城市管理局,1583,美丽深圳,102,1,0,0,1,2,投诉,-
115283,1,2018-10-31 15:27:30,坪山区,1,坪山街道,104,六联社区,10007,市容环卫,5,垃圾问题,172,暴露垃圾,581,坪山街道综合执法队（坪山街道办事处）,8484,美丽深圳,102,1,0,0,1,3,咨询,-
115292,1,2018-10-31 15:34:28,坪山区,1,龙田街道,101,老坑社区,10014,市政设施,6,市政、公共设施设置及维护,186,道路桥梁设施隐患,666,坪山交通运输局,1889,12319,12,1,0,0,1,2,投诉,-
115296,1,2018-10-31 15:37:28,坪山区,1,坪山街道,104,六联社区,10007,市政设施,6,公用部件,185,上水井盖,629,坪山自来水有限公司,8454,美丽深圳,102,1,1,0,0,2,投诉,-
115306,1,2018-10-31 15:42:28,坪山区,1,碧岭街道,100,汤坑社区,10002,市政设施,6,公用部件,185,下水井盖,630,大工业区水务有限公司,8516,美丽深圳,102,1,0,0,1,2,投诉,-
115315,1,2018-10-31 15:47:28,坪山区,1,坪山街道,104,坪山社区,10005,市政设施,6,公用部件,185,上水井盖,629,大工业区水务有限公司,8516,美丽深圳,102,1,0,0,1,2,投诉,-
115338,1,2018-10-31 16:01:40,坪山区,1,石井街道,103,石井社区,10017,劳动社保,8,劳动就业,34,未妥善处理劳动者工资或经济补偿金问题,212,-,0,12345,13,1,0,0,1,2,投诉,-
115340,1,2018-10-31 16:02:28,坪山区,1,碧岭街道,100,碧岭社区,10009,市容环卫,5,其他市容违法行为或影响市容事件,181,乱堆物堆料,615,城管办（碧岭街道办事处）,1876,美丽深圳,102,1,0,0,1,2,投诉,-
115343,1,2018-10-31 16:03:28,坪山区,1,坪山街道,104,坪山社区,10005,环保水务,3,供、排水及水质问题,152,下水道堵塞或破损,538,环境保护和水务局,1536,12319,12,1,0,0,1,2,投诉,-
115348,1,2018-10-31 16:09:40,坪山区,1,坑梓街道,105,坑梓社区,10015,民政服务,15,社会救助,802,医疗救助,1090,综治维稳办（坑梓街道办事处）,9439,12345,13,1,1,0,0,2,投诉,-
115361,1,2018-10-31 16:17:28,坪山区,1,马峦街道,102,沙坣社区,10006,市政设施,6,公用部件,185,通讯井盖,634,广东移动深圳公司,8474,美丽深圳,102,1,0,0,1,2,投诉,-
115362,1,2018-10-31 16:17:29,坪山区,1,马峦街道,102,沙坣社区,10006,市容环卫,5,垃圾问题,172,暴露垃圾,581,市政服务中心（马峦街道办事处）,1843,美丽深圳,102,1,0,0,1,2,投诉,-
115364,1,2018-10-31 16:18:54,坪山区,1,坑梓街道,105,坑梓社区,10015,市容环卫,5,市容城管,1159,乱摆卖,1164,城管办（坑梓街道办事处）,1772,固话投诉,106,1,0,0,1,2,投诉,-
115367,1,2018-10-31 16:19:59,坪山区,1,坑梓街道,105,沙田社区,10021,环保水务,3,禽畜养殖污染,138,饲养宠物家禽扰民,482,市政服务中心（坑梓街道办事处）,1770,固话投诉,106,1,0,0,1,2,投诉,-
115368,1,2018-10-31 16:21:18,坪山区,1,碧岭街道,100,汤坑社区,10002,交通运输,7,公共交通管理,193,公共交通管理,681,坪山交通运输局,1889,政府信箱,104,1,0,0,1,2,投诉,-
