REC_ID,REPORT_NUM,EVENT_PROPERTY_NAME,EVENT_TYPE_ID,EVENT_TYPE_NAME,EVENT_SRC_NAME,DISTRICT_ID,INTIME_ARCHIVE_NUM,SUB_TYPE_ID,DISTRICT_NAME,COMMUNITY_ID,STREET_ID,OVERTIME_ARCHIVE_NUM,OPERATE_NUM,DISPOSE_UNIT_ID,STREET_NAME,CREATE_TIME,EVENT_SRC_ID,INTIME_TO_ARCHIVE_NUM,SUB_TYPE_NAME,EVENT_PROPERTY_ID,OCCUR_PLACE,COMMUNITY_NAME,DISPOSE_UNIT_NAME,MAIN_TYPE_NAME,MAIN_TYPE_ID
73049,1,投诉,6,市政设施,美丽深圳,1,0,833,坪山区,10022,105,1,1,1920,坑梓街道,2018/7/5 18:47,102,0,交通信号设施,2,-,秀新社区,市交警支队坪山大队,交通设施,183
73051,1,投诉,5,市容环卫,美丽深圳,1,1,581,坪山区,10022,105,0,1,1770,坑梓街道,2018/7/5 19:02,102,0,暴露垃圾,2,-,秀新社区,市政服务中心（坑梓街道办事处）,垃圾问题,172
73052,1,投诉,6,市政设施,美丽深圳,1,1,634,坪山区,10003,102,0,1,8474,马峦街道,2018/7/5 19:03,102,0,通讯井盖,2,-,江岭社区,广东移动深圳公司,公用部件,185
73058,1,投诉,5,市容环卫,美丽深圳,1,1,598,坪山区,10022,105,0,1,1770,坑梓街道,2018/7/5 19:22,102,0,住宅区域内废弃家具设备,2,-,秀新社区,市政服务中心（坑梓街道办事处）,废弃物堆放,177
73067,1,投诉,1,安全隐患,@坪山,1,1,226,坪山区,10019,105,0,1,1920,坑梓街道,2018/7/5 20:05,103,0,非机动车非法营运,2,-,金沙社区,市交警支队坪山大队,道路交通安全,27
73072,1,投诉,6,市政设施,美丽深圳,1,1,634,坪山区,10013,101,0,1,1803,龙田街道,2018/7/5 20:47,102,0,通讯井盖,2,-,竹坑社区,竹坑社区,公用部件,185
73073,1,投诉,6,市政设施,@坪山,1,1,633,坪山区,10012,104,0,1,1583,坪山街道,2018/7/5 20:48,103,0,路灯(灯光)井盖,2,-,六和社区,城市管理局,公用部件,185
73075,1,投诉,6,市政设施,@坪山,1,1,633,坪山区,10007,104,0,1,1751,坪山街道,2018/7/5 20:53,103,0,路灯(灯光)井盖,2,-,六联社区,市政服务中心（坪山街道办事处）,公用部件,185
73077,1,投诉,5,市容环卫,@坪山,1,1,605,坪山区,10016,104,0,1,1920,坪山街道,2018/7/5 21:46,103,0,机动车乱停放,2,-,和平社区,市交警支队坪山大队,车辆乱停放,179
73078,1,投诉,5,市容环卫,@坪山,1,1,603,坪山区,10018,101,0,1,8508,龙田街道,2018/7/5 21:54,103,0,店外经营,2,-,南布社区,龙田街道综合执法队,占道经营,178
73079,1,投诉,3,环保水务,@坪山,1,1,476,坪山区,10004,102,0,1,8532,马峦街道,2018/7/5 22:02,103,0,公共场所噪声,2,-,坪环社区,马峦办事处综合执法队,社会生活噪声,137
73081,1,投诉,5,市容环卫,固话投诉,1,1,586,坪山区,10018,101,0,1,1801,龙田街道,2018/7/5 22:48,106,0,道路遗撒,2,-,南布社区,市政服务中心（龙田街道办事处）,道路保洁,174
73082,1,投诉,3,环保水务,政府信箱,1,1,466,坪山区,10014,101,0,1,1536,龙田街道,2018/7/5 23:08,104,0,商业经营红线外噪声,2,-,老坑社区,环境保护和水务局,商业经营噪声,134
73083,1,投诉,3,环保水务,@坪山,1,1,466,坪山区,10014,101,0,1,1536,龙田街道,2018/7/5 23:12,103,0,商业经营红线外噪声,2,-,老坑社区,环境保护和水务局,商业经营噪声,134
73085,1,咨询,11,教育卫生,@坪山,1,1,327,坪山区,10020,101,0,1,1565,龙田街道,2018/7/6 3:01,103,0,医疗事故争议,3,-,龙田社区,卫生和计划生育局,医患纠纷,75
73086,1,投诉,3,环保水务,@坪山,1,1,478,坪山区,10018,101,0,1,8508,龙田街道,2018/7/6 3:43,103,0,假日住宅楼噪声,2,-,南布社区,龙田街道综合执法队,社会生活噪声,137
73087,1,投诉,6,市政设施,美丽深圳,1,0,632,坪山区,10014,101,1,1,1805,龙田街道,2018/7/6 6:43,102,0,电力井盖,2,-,老坑社区,老坑社区,公用部件,185
73089,1,投诉,6,市政设施,美丽深圳,1,0,634,坪山区,10012,104,1,1,1754,坪山街道,2018/7/6 6:43,102,0,通讯井盖,2,-,六和社区,六和社区（坪山街道办事处）,公用部件,185
73090,1,投诉,5,市容环卫,美丽深圳,1,0,752,坪山区,10014,101,1,1,8565,龙田街道,2018/7/6 7:03,102,0,其他区域堆放施工废弃料,2,-,老坑社区,坑梓自来水公司（坑梓辖区）,废弃物堆放,177
73091,1,投诉,5,市容环卫,美丽深圳,1,1,590,坪山区,10020,101,0,1,1801,龙田街道,2018/7/6 7:48,102,0,公共绿地养护,2,-,龙田社区,市政服务中心（龙田街道办事处）,绿化养护,176
73093,1,投诉,5,市容环卫,美丽深圳,1,1,590,坪山区,10015,105,0,1,1583,坑梓街道,2018/7/6 8:03,102,0,公共绿地养护,2,-,坑梓社区,城市管理局,绿化养护,176
73106,1,投诉,12,组织人事,@坪山,1,1,1048,坪山区,10012,104,0,1,1529,坪山街道,2018/7/6 8:36,103,0,人才战略,2,-,六和社区,人力资源局,人力资源,1047
73117,1,投诉,6,市政设施,美丽深圳,1,1,629,坪山区,10013,101,0,1,8516,龙田街道,2018/7/6 8:43,102,0,上水井盖,2,-,竹坑社区,大工业区水务有限公司,公用部件,185
73118,1,投诉,5,市容环卫,美丽深圳,1,1,590,坪山区,10013,101,0,1,1583,龙田街道,2018/7/6 8:43,102,0,公共绿地养护,2,-,竹坑社区,城市管理局,绿化养护,176
73160,1,投诉,14,党纪政纪,@坪山,1,1,370,坪山区,10006,102,0,1,1529,马峦街道,2018/7/6 9:16,103,0,服务态度,2,-,沙坣社区,人力资源局,行政效能,100
73193,1,咨询,11,教育卫生,固话投诉,1,1,1008,坪山区,10016,104,0,1,1565,坪山街道,2018/7/6 10:43,106,0,医疗技术和服务,3,-,和平社区,卫生和计划生育局,医政监管,1007
73196,1,投诉,6,市政设施,@坪山,1,1,844,坪山区,10019,105,0,1,1777,坑梓街道,2018/7/6 10:47,103,0,存车支架,2,-,金沙社区,金沙社区,道路设施,184
73199,1,投诉,3,环保水务,@坪山,1,1,498,坪山区,10022,105,0,1,1536,坑梓街道,2018/7/6 10:54,103,0,生活污水乱排放,2,-,秀新社区,环境保护和水务局,水污染,141
73200,1,投诉,11,教育卫生,固话投诉,1,1,1028,坪山区,10002,100,0,1,1500,碧岭街道,2018/7/6 10:59,106,0,学历学位学籍管理,2,-,汤坑社区,教育局,教育行政管理,1024
73201,1,投诉,11,教育卫生,固话投诉,1,1,1028,坪山区,10012,104,0,1,1500,坪山街道,2018/7/6 11:01,106,0,学历学位学籍管理,2,-,六和社区,教育局,教育行政管理,1024
73204,1,投诉,11,教育卫生,固话投诉,1,1,339,坪山区,10016,104,0,1,1500,坪山街道,2018/7/6 11:11,106,0,招生违法行为,2,-,和平社区,教育局,招生中的违法行为,79
73205,1,投诉,6,市政设施,@坪山,1,0,652,坪山区,10021,105,1,1,1768,坑梓街道,2018/7/6 11:12,103,0,健身设施,2,-,沙田社区,沙田社区,公用部件,185
74688,1,投诉,5,市容环卫,12345,1,1,1164,坪山区,10016,104,0,1,8484,坪山街道,2018/7/11 0:40,13,0,乱摆卖,2,-,和平社区,坪山街道综合执法队,市容城管,1159
74689,1,投诉,11,教育卫生,12345,1,1,1028,坪山区,10006,102,0,1,1500,马峦街道,2018/7/11 0:40,13,0,学历学位学籍管理,2,-,沙坣社区,教育局,教育行政管理,1024
74690,1,咨询,5,市容环卫,12345,1,1,1161,坪山区,10021,105,0,1,1536,坑梓街道,2018/7/11 0:40,13,0,城市管理,3,-,沙田社区,环境保护和水务局,市容城管,1159
74691,1,投诉,5,市容环卫,12345,1,1,1164,坪山区,10006,102,0,1,8532,马峦街道,2018/7/11 0:40,13,0,乱摆卖,2,-,沙坣社区,马峦办事处综合执法队,市容城管,1159
74692,1,投诉,3,环保水务,12345,1,1,460,坪山区,10013,101,0,1,1536,龙田街道,2018/7/11 0:43,13,0,工业红线内噪声,2,-,竹坑社区,环境保护和水务局,工业噪声,132
74693,1,投诉,11,教育卫生,12345,1,1,1020,坪山区,10015,105,0,1,1500,坑梓街道,2018/7/11 0:43,13,0,教育体制改革,2,-,坑梓社区,教育局,教育体制,1019
